inventory_id,date_added,inventory_number,inventory_name,inventory_description,inventory_order,inventory_size,category_id,inventory_price,inventory_reserved,inventory_image,inventory_userid,inventory_quantity,inventory_manufacturer,inventory_FOB,inventory_detail_page,inventory_owner_email,inventory_make,inventory_model,inventory_year,inventory_serial
1664,0,2-0267,2005,,0,,0,0.00,,,0,0,,,,,GMC,SIERRA DENALI,,
1665,0,2-0269A,2003,,0,,0,0.00,,,0,0,,,,,JEEP,LIBERTY,,
1666,0,2-0270A,2005,,0,,0,0.00,,,0,0,,,,,FORD TRUCK,F-150,,
1667,0,2-0274,2008,,0,,0,0.00,,,0,0,,,,,TOYOTA TRUCK,TACOMA,,
1668,0,2-0275A,2002,,0,,0,0.00,,,0,0,,,,,NISSAN,QUEST,,
1669,0,2-0276,2005,,0,,0,0.00,,,0,0,,,,,FORD TRUCK,F-150,,
1670,0,2-0277,2010,,0,,0,0.00,,,0,0,,,,,JEEP,PATRIOT,,
1671,0,2-0281,2008,,0,,0,0.00,,,0,0,,,,,CHEVROLET TRUCK,SILVERADO 1500,,
1672,0,2-0282,2007,,0,,0,0.00,,,0,0,,,,,HYUNDAI,SPORTAGE,,
1673,0,2-0283A,2001,,0,,0,0.00,,,0,0,,,,,MITSUBISHI,MONTERO SPORT,,
1674,0,2-0285A,2002,,0,,0,0.00,,,0,0,,,,,MAZDA,TRIBUTE SUV,,
1675,0,2-0285B,2004,,0,,0,0.00,,,0,0,,,,,TOYOTA TRUCK,SIDEWINDER,,
1676,0,2-0286A,1959,,0,,0,0.00,,,0,0,,,,,FORD,F250,,
1677,0,2-0288A,2003,,0,,0,0.00,,,0,0,,,,,OLDSMOBILE,BRAVADA,,
1678,0,2-0291A,2007,,0,,0,0.00,,,0,0,,,,,CHEVROLET TRUCK,AVALANCHE,,
1679,0,2-0292,2005,,0,,0,0.00,,,0,0,,,,,CHEVROLET TRUCK,TRAILBLAZER,,
1680,0,2-0293,2006,,0,,0,0.00,,,0,0,,,,,HYUNDAI,SANTA FE,,
1681,0,2-0296,1988,,0,,0,0.00,,,0,0,,,,,CHEVROLET TRUCK,1500,,
1682,0,2-0299,2007,,0,,0,0.00,,,0,0,,,,,FORD TRUCK,SPRDTY F350 SRW,,
1683,0,2-0312A,2007,,0,,0,0.00,,,0,0,,,,,TOYOTA TRUCK,TACOMA,,
1684,0,2-0322,2000,,0,,0,0.00,,,0,0,,,,,FORD TRUCK,RANGER,,
1685,0,2-0325,2010,,0,,0,0.00,,,0,0,,,,,CHEVROLET TRUCK,SILVERADO 1500,,
1686,0,2-0327,2010,,0,,0,0.00,,,0,0,,,,,MAZDA,MAZDA5,,
1687,0,2-0328,2008,,0,,0,0.00,,,0,0,,,,,HONDA,RIDGELINE,,
1688,0,2-0332,2005,,0,,0,0.00,,,0,0,,,,,JEEP,WRANGLER,,
1689,0,2-0338,2007,,0,,0,0.00,,,0,0,,,,,FORD TRUCK,F-150,,
1690,0,2-0346A,2008,,0,,0,0.00,,,0,0,,,,,CHEVROLET TRUCK,SILVERADO 1500,,
1691,0,2-0347,2008,,0,,0,0.00,,,0,0,,,,,DODGE TRUCK,RAM 2500,,
1692,0,2-0352,2003,,0,,0,0.00,,,0,0,,,,,JEEP,WRANGLER,,
1693,0,2-0353,2006,,0,,0,0.00,,,0,0,,,,,FORD TRUCK,SUPER DUTY F250,,
1694,0,2-0356A,2001,,0,,0,0.00,,,0,0,,,,,BMW,7-SERIES,,
1695,0,2-0357,2011,,0,,0,0.00,,,0,0,,,,,JEEP,LIBERTY,,
1696,0,2-0366A2,2003,,0,,0,0.00,,,0,0,,,,,FORD,FOCUS,,
1697,0,2-0368,2010,,0,,0,0.00,,,0,0,,,,,DODGE TRUCK,RAM 1500,,
1698,0,2-0374A,2006,,0,,0,0.00,,,0,0,,,,,CHEVROLET TRUCK,TAHOE,,
1699,0,2-0375,2008,,0,,0,0.00,,,0,0,,,,,JEEP,PATRIOT,,
1700,0,2-0381A,1995,,0,,0,0.00,,,0,0,,,,,MERCEDES-BENZ,E-CLASS,,
1701,0,2-0383,2005,,0,,0,0.00,,,0,0,,,,,FORD TRUCK,ESCAPE,,
1702,0,2-0389,2008,,0,,0,0.00,,,0,0,,,,,TOYOTA TRUCK,TUNDRA 4WD TRK,,
1703,0,2-0391,2006,,0,,0,0.00,,,0,0,,,,,CHEVROLET TRUCK,EXPRESS CUTAWAY,,
1704,0,2-0395,2002,,0,,0,0.00,,,0,0,,,,,CHEVROLET TRUCK,TAHOE POLICE,,
1705,0,2-0396A2,2007,,0,,0,0.00,,,0,0,,,,,FORD TRUCK,F-150,,
1706,0,2-0398A,1999,,0,,0,0.00,,,0,0,,,,,FORD TRUCK,SUPER DUTY F250,,
1707,0,2-0407,2010,,0,,0,0.00,,,0,0,,,,,JEEP,COMPASS,,
1708,0,2-0410,2007,,0,,0,0.00,,,0,0,,,,,GMC,SIERRA 1500,,
